MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,MP_Mode,Length,Width,Draft,Cargo,TransceiverClass,VesselID
353327000,2025-08-11T16:33:56,18.258348258757604,-64.97731850916752,0,0,-1.8182769108132029,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:56,18.24442438625229,-64.97847673607623,0,0,2.246695201744123,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:57,18.256700102448555,-64.98117856206751,0,0,-1.9511018763400019,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:57,18.232605004710884,-64.98215271283036,0,0,2.1579237080943847,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:57,18.258335980136096,-64.9773195537014,0,0,-1.8642405520805312,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:57,18.2444243760602,-64.97847686546636,0,0,2.246826391901501,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:59,18.256692570342302,-64.98118162319068,0,0,-1.9504939198640356,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:59,18.232612452577378,-64.98215642317906,0,0,2.1676664068776006,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:59,18.258327669058534,-64.97732065006498,0,0,-1.911222460166686,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:59,18.244424298984747,-64.97847694132555,0,0,2.246996302091549,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:00,18.2566811847854,-64.98118648106481,0,0,-1.9497624560082554,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:00,18.232623420041598,-64.98216223354491,0,0,2.1581908724554664,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:00,18.258315478335284,-64.97732258092574,0,0,-1.924461023450682,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:00,18.244424312641907,-64.97847690730384,0,0,2.246896424981896,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:01,18.256673649324448,-64.98118964022058,0,0,-1.9480637770823686,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:01,18.232630542483342,-64.98216632465237,0,0,2.1277751101709503,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:01,18.258307501698198,-64.97732420431859,0,0,-1.9186216891670391,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:01,18.24442438844323,-64.97847685484693,0,0,2.2466754904228754,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:02,18.256662301506292,-64.9811944210352,0,0,-1.9469046685052924,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:02,18.23264100259654,-64.98217292021027,0,0,2.102423584675949,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:02,18.258295507524487,-64.97732734280848,0,0,-1.9015861962647818,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:02,18.244424365269833,-64.97847687283502,0,0,2.2467301269966637,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:03,18.256654675711044,-64.98119775461359,0,0,-1.9457330007124416,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:03,18.23264797897492,-64.98217739209471,0,0,2.066303147490807,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:03,18.258287620396906,-64.97732953159537,0,0,-1.8654181922478246,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:03,18.244424286482335,-64.97847689477791,0,0,2.2468555513673625,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:04,18.256643394818546,-64.98120246048452,0,0,-1.9453579414187685,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:04,18.23265853667283,-64.9821838746401,0,0,2.047797033941183,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:04,18.25827587468735,-64.97733308627363,0,0,-1.8401101759304828,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:04,18.244424305337766,-64.97847683926565,0,0,2.2467254595668313,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:05,18.25663579118822,-64.98120569029223,0,0,-1.9458264236274405,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
